english 	braille
A	⠠⠁
B	⠠⠃
C	⠠⠉
D	⠠⠙
E	⠠⠑
F	⠠⠋
G	⠠⠛
H	⠠⠓
I	⠠⠊
J	⠠⠚
K	⠠⠅
L	⠠⠇
M	⠠⠍
N	⠠⠝
O	⠠⠕
P	⠠⠏
Q	⠠⠟
R	⠠⠗
S	⠠⠎
T	⠠⠞
U	⠠⠥
V	⠠⠧
W	⠠⠺
X	⠠⠭
Y	⠠⠽
Z	⠠⠵
a	⠁
b	⠃
c	⠉
d	⠙
e	⠑
f	⠋
g	⠛
h	⠓
i	⠊
j	⠚
k	⠅
l	⠇
m	⠍
n	⠝
o	⠕
p	⠏
q	⠟
r	⠗
s	⠎
t	⠞
u	⠥
v	⠧
w	⠺
x	⠭
y	⠽
z	⠵
Real	⠠⠗⠑⠁⠇
Life	⠠⠇⠊⠋⠑
Some	⠠⠎⠕⠍⠑
in the north	⠊⠝⠀⠮⠀⠝⠕⠗⠹
book	⠃⠕⠕⠅
take	⠞⠁⠅⠑
happened	⠓⠁⠏⠏⠑⠝⠫
Science	⠠⠎⠉⠊⠑⠝⠉⠑
to eat	⠞⠕⠀⠑⠁⠞
in the room	⠊⠝⠀⠮⠀⠗⠕⠕⠍
friend	⠋⠗⠊⠑⠝⠙
started	⠌⠜⠞⠫
idea	⠊⠙⠑⠁
Fish	⠠⠋⠊⠩
the mountain	⠮⠀⠍⠳⠝⠞⠁⠊⠝
to stop	⠞⠕⠀⠌⠕⠏
Once	⠠⠕⠝⠉⠑
Basic	⠠⠃⠁⠎⠊⠉
Listen and listen	⠠⠇⠊⠌⠑⠝⠀⠯⠀⠇⠊⠌⠑⠝
Horse	⠠⠓⠕⠗⠎⠑
cut	⠉⠥⠞
firm	⠋⠊⠗⠍
to see	⠞⠕⠀⠎⠑⠑
colored	⠉⠕⠇⠕⠗⠫
the face	⠮⠀⠋⠁⠉⠑
tree	⠞⠗⠑⠑
Important	⠠⠊⠍⠏⠕⠗⠞⠁⠝⠞
Open	⠠⠕⠏⠑⠝
I do not know	⠠⠊⠀⠙⠕⠀⠝⠕⠞⠀⠅⠝⠪
Together	⠠⠞⠕⠛⠑⠮⠗
Next	⠠⠝⠑⠭⠞
White	⠠⠱⠊⠞⠑
Children	⠠⠡⠊⠇⠙⠗⠑⠝
will begin	⠺⠊⠇⠇⠀⠃⠑⠛⠊⠝
Got it	⠠⠛⠕⠞⠀⠊⠞
to walk	⠞⠕⠀⠺⠁⠇⠅
For example	⠠⠿⠀⠑⠭⠁⠍⠏⠇⠑
to facilitate	⠞⠕⠀⠋⠁⠉⠊⠇⠊⠞⠁⠞⠑
Paper	⠠⠏⠁⠏⠻
group	⠛⠗⠳⠏
Always	⠠⠁⠇⠺⠁⠽⠎
Music	⠠⠍⠥⠎⠊⠉
That	⠠⠹⠁⠞
Two	⠠⠞⠺⠕
Mark	⠠⠍⠜⠅
Mostly	⠠⠍⠕⠌⠇⠽
Letter	⠠⠇⠑⠞⠞⠻
up to	⠥⠏⠀⠞⠕
Mile	⠠⠍⠊⠇⠑
in the river	⠊⠝⠀⠮⠀⠗⠊⠧⠻
Car	⠠⠉⠜
ft	⠋⠞
Security	⠠⠎⠑⠉⠥⠗⠊⠞⠽
Second	⠠⠎⠑⠉⠕⠝⠙
Enough	⠠⠑⠝⠳⠣
empty	⠑⠍⠏⠞⠽
girl	⠛⠊⠗⠇
usual	⠥⠎⠥⠁⠇
Young	⠠⠽⠳⠝⠛
ready	⠗⠑⠁⠙⠽
above	⠁⠃⠕⠧⠑
Always	⠠⠁⠇⠺⠁⠽⠎
red,	⠗⠫⠂
In the list	⠠⠊⠝⠀⠮⠀⠇⠊⠌
However	⠠⠓⠪⠑⠧⠻
to feel	⠞⠕⠀⠋⠑⠑⠇
Speech	⠠⠎⠏⠑⠑⠡
the bird	⠮⠀⠃⠊⠗⠙
Soon	⠠⠎⠕⠕⠝
Body	⠠⠃⠕⠙⠽
the dog	⠮⠀⠙⠕⠛
family	⠋⠁⠍⠊⠇⠽
direct	⠙⠊⠗⠑⠉⠞
Pose	⠠⠏⠕⠎⠑
left	⠇⠑⠋⠞
Song	⠠⠎⠕⠝⠛
to measure	⠞⠕⠀⠍⠑⠁⠎⠥⠗⠑
the door	⠮⠀⠙⠕⠕⠗
Product	⠠⠏⠗⠕⠙⠥⠉⠞
Black	⠠⠃⠇⠁⠉⠅
short	⠩⠕⠗⠞
No	⠠⠝⠕
Class	⠠⠉⠇⠁⠎⠎
wind	⠺⠊⠝⠙
question	⠟⠥⠑⠌⠊⠕⠝
will happen	⠺⠊⠇⠇⠀⠓⠁⠏⠏⠑⠝
Complete	⠠⠉⠕⠍⠏⠇⠑⠞⠑
the ship	⠮⠀⠩⠊⠏
area	⠜⠑⠁
half	⠓⠁⠇⠋
Rock	⠠⠗⠕⠉⠅
order	⠕⠗⠙⠻
fire	⠋⠊⠗⠑
South	⠠⠎⠳⠹
problem	⠏⠗⠕⠃⠇⠑⠍
Piece	⠠⠏⠊⠑⠉⠑
said	⠎⠁⠊⠙
known	⠅⠝⠪⠝
pass through	⠏⠁⠎⠎⠀⠹⠗⠳⠣
First	⠠⠋⠊⠗⠌
top	⠞⠕⠏
throughout	⠹⠗⠳⠣⠳⠞
King	⠠⠅⠊⠝⠛
on the street	⠕⠝⠀⠮⠀⠌⠗⠑⠑⠞
inches	⠊⠝⠡⠑⠎
Multiply	⠠⠍⠥⠇⠞⠊⠏⠇⠽
Nothing	⠠⠝⠕⠹⠊⠝⠛
Of course	⠠⠷⠀⠉⠳⠗⠎⠑
stay	⠌⠁⠽
